0,0,1996,912,2067,943,87905.26,OTHER
0,0,1990,970,2057,1005,10259.7,OTHER
0,0,874,2744,943,2770,W-2,OTHER
107,110,1035,253,1156,305,2018,OTHER
131,133,1171,254,1275,306,W-2,OTHER
146,148,1287,255,1386,307,and,OTHER
162,169,1401,255,1690,307,EARNINGS,OTHER
192,198,1708,253,1995,306,SUMMARY,OTHER
255,257,2225,245,2311,291,ADP,OTHER
278,285,222,317,320,344,Employee,OTHER
298,306,393,313,497,346,Reference,OTHER
312,315,592,316,643,342,Copy,OTHER
357,359,964,314,1006,344,his,OTHER
361,364,1011,314,1070,343,blue,OTHER
366,373,1075,314,1197,343,Earnings,OTHER
375,381,1201,314,1329,342,Summary,OTHER
383,389,1334,314,1430,342,section,OTHER
391,392,1435,314,1459,342,is,OTHER
394,401,1464,314,1578,342,included,OTHER
403,406,1583,314,1638,342,with,OTHER
408,411,1643,314,1704,342,your,OTHER
413,415,1709,314,1766,342,W-2,OTHER
417,418,1772,314,1799,342,to,OTHER
420,423,1805,314,1864,343,help,OTHER
425,432,1875,313,1984,344,describe,OTHER
434,441,1990,313,2097,344,portions,OTHER
443,444,2103,313,2128,345,in,OTHER
446,449,2134,312,2206,345,more,OTHER
451,457,2215,312,2288,346,detail.,OTHER
489,492,329,351,384,376,Wage,OTHER
494,496,428,346,465,370,and,OTHER
498,500,507,346,545,372,Tax,OTHER
556,557,965,343,1000,370,he,OTHER
559,565,1006,343,1107,370,reverse,OTHER
567,570,1114,343,1170,370,side,OTHER
572,579,1175,343,1289,370,includes,OTHER
581,587,1294,343,1394,370,general,OTHER
589,599,1398,343,1546,370,information,OTHER
601,604,1555,343,1607,370,that,OTHER
606,608,1612,343,1661,370,you,OTHER
610,612,1666,343,1725,370,may,OTHER
614,617,1732,343,1786,370,also,OTHER
619,622,1794,343,1843,370,find,OTHER
624,631,1848,343,1946,370,helpful.,OTHER
636,638,113,381,168,417,N-2,OTHER
663,671,324,371,404,396,Statement,OTHER
682,685,582,386,666,418,2018,taxYear
688,691,100,432,135,457,Copy,OTHER
693,693,137,432,148,455,C,OTHER
695,697,151,431,171,454,for,OTHER
699,708,174,431,250,455,employee's,OTHER
710,717,252,432,322,461,records.,OTHER
744,748,307,448,348,487,Dept.,OTHER
754,755,351,458,381,489,50,OTHER
767,769,564,422,596,448,OMB,OTHER
771,773,599,422,627,447,No.,OTHER
775,783,631,422,709,448,1545-0008,OTHER
825,826,1025,425,1048,455,1.,OTHER
828,830,1052,425,1096,455,The,OTHER
832,840,1100,424,1212,455,following,OTHER
842,852,1216,424,1353,454,information,OTHER
854,861,1357,424,1447,454,reflects,OTHER
863,866,1451,424,1507,454,your,OTHER
868,872,1511,424,1565,454,final,OTHER
874,877,1569,424,1625,455,2018,OTHER
879,881,1629,424,1677,455,pay,OTHER
883,886,1681,424,1733,455,stub,OTHER
888,891,1737,424,1793,455,plus,OTHER
893,895,1797,424,1841,455,any,OTHER
897,907,1845,424,1991,456,adjustments,OTHER
909,917,1995,424,2113,456,submitted,OTHER
919,920,2117,425,2149,456,by,OTHER
922,925,2154,425,2211,457,your,OTHER
927,935,2215,425,2338,458,employer.,OTHER
938,938,98,453,115,478,d,OTHER
940,946,130,451,184,478,Control,OTHER
948,953,186,444,256,476,number,OTHER
975,979,405,452,464,492,Corp.,OTHER
990,997,614,450,679,479,Emplover,OTHER
999,1001,683,450,708,479,use,OTHER
1003,1006,713,452,752,484,only,OTHER
1008,1009,757,458,780,488,36,OTHER
1011,1017,97,475,172,503,9978065,OTHER
1059,1059,562,464,585,496,A,OTHER
1124,1128,1102,472,1144,499,Gross,OTHER
1130,1132,1148,468,1181,497,Pay,OTHER
1139,1146,1262,467,1334,494,87905.26,OTHER
1169,1175,1638,465,1701,492,5279.33,OTHER
1185,1187,1835,471,1860,497,WY.,OTHER
1189,1193,1865,472,1902,498,State,OTHER
1195,1200,1907,472,1962,498,Income,OTHER
1202,1204,1967,471,1992,497,Tax,OTHER
1206,1212,2071,469,2136,496,2630.56,OTHER
1357,1359,1458,488,1480,515,Tax,OTHER
1361,1368,1483,485,1560,515,Withheld,OTHER
1390,1392,1838,496,1865,521,Box,OTHER
1394,1395,1868,496,1887,520,17,OTHER
1396,1401,1877,513,1937,537,Income,OTHER
1588,1589,1889,497,1904,520,of,OTHER
1591,1593,1907,498,1946,520,W-2,OTHER
1594,1595,1938,514,1955,537,Ta,OTHER
1602,1611,134,519,213,549,Employer's,OTHER
1741,1743,1458,509,1482,537,Box,OTHER
1745,1745,1485,509,1496,536,4,OTHER
1747,1748,1498,509,1513,535,of,OTHER
1750,1752,1516,509,1555,536,W-2,OTHER
1772,1776,1834,511,1875,535,Local,OTHER
1793,1795,2079,507,2101,539,171,OTHER
1797,1799,2106,508,2128,540,1.5,OTHER
1808,1813,151,533,237,564,Nelson,employerName
1814,1818,217,521,264,549,"name,",OTHER
1819,1823,243,537,315,564,Group,employerName
1824,1831,267,518,334,547,"address,",OTHER
