0,0,1685,921,1751,956,285144.4,OTHER
0,0,243,2620,260,2648,tax,OTHER
114,117,1035,253,1156,305,2018,OTHER
138,140,1171,254,1276,306,W-2,OTHER
152,154,1287,255,1389,307,and,OTHER
170,177,1401,255,1691,307,EARNINGS,OTHER
202,208,1709,253,1995,306,SUMMARY,OTHER
266,268,2225,245,2311,291,ADP,OTHER
288,295,222,317,319,344,Employee,OTHER
308,316,393,313,497,346,Reference,OTHER
322,325,592,316,643,342,Copy,OTHER
377,379,964,314,1006,344,his,OTHER
381,384,1011,314,1070,343,blue,OTHER
386,393,1075,314,1197,343,Earnings,OTHER
395,401,1201,314,1329,342,Summary,OTHER
403,409,1334,314,1430,342,section,OTHER
411,412,1435,314,1459,342,is,OTHER
414,421,1464,314,1578,342,included,OTHER
423,426,1583,314,1638,342,with,OTHER
428,431,1643,314,1704,342,your,OTHER
433,435,1709,314,1766,342,W-2,OTHER
437,438,1772,314,1799,342,to,OTHER
440,443,1805,314,1864,343,help,OTHER
445,452,1875,313,1984,344,describe,OTHER
454,461,1990,313,2097,344,portions,OTHER
463,464,2103,313,2128,345,in,OTHER
466,469,2134,312,2206,346,more,OTHER
471,477,2215,312,2288,346,detail.,OTHER
509,512,329,351,386,376,Wage,OTHER
514,516,428,346,465,370,and,OTHER
518,520,507,345,545,371,Tax,OTHER
585,586,965,344,1000,371,he,OTHER
588,594,1005,344,1108,371,reverse,OTHER
596,599,1115,343,1169,370,side,OTHER
601,608,1176,343,1289,370,includes,OTHER
610,616,1294,343,1394,370,general,OTHER
618,628,1398,343,1547,370,information,OTHER
630,633,1553,343,1607,370,that,OTHER
635,637,1612,343,1660,370,you,OTHER
639,641,1666,343,1727,370,may,OTHER
643,646,1731,343,1787,370,also,OTHER
648,651,1793,343,1843,370,find,OTHER
653,660,1848,343,1946,370,helpful.,OTHER
665,667,113,381,168,417,N-2,OTHER
692,700,324,371,404,396,Statement,OTHER
710,713,582,386,665,417,2018,taxYear
716,719,100,432,135,458,Copy,OTHER
721,721,138,432,147,455,C,OTHER
723,725,150,431,172,455,for,OTHER
727,736,175,431,250,455,employee's,OTHER
738,745,252,432,321,460,records.,OTHER
772,776,307,448,360,488,Dept.,OTHER
794,796,564,422,596,448,OMB,OTHER
798,800,599,422,626,447,No.,OTHER
802,810,631,422,709,448,1545-0008,OTHER
860,861,1025,425,1048,455,1.,OTHER
863,865,1052,425,1096,455,The,OTHER
867,875,1100,425,1212,455,following,OTHER
877,887,1216,424,1353,455,information,OTHER
889,896,1357,424,1448,454,reflects,OTHER
898,901,1452,424,1507,455,your,OTHER
903,907,1512,424,1565,455,final,OTHER
909,912,1569,424,1625,455,2018,OTHER
914,916,1629,424,1675,455,pay,OTHER
918,921,1679,424,1733,455,stub,OTHER
923,926,1737,424,1791,455,plus,OTHER
928,930,1795,424,1839,455,any,OTHER
932,942,1843,424,1990,456,adjustments,OTHER
944,952,1994,424,2113,456,submitted,OTHER
954,955,2118,425,2148,456,by,OTHER
957,960,2152,425,2210,457,your,OTHER
